date,source,title,text
2012-01-01,Euromoney,Best managed companies in Asia 2012: Overall results,Asia Best Managed Companies: Results index Overall Number of companies nominated: 171 2012 Company Score 1 China Telecom 16.51% 2 CNOOC
2012-01-01,EUROTRADE Computer & Communication Magazine,Low Temperature Polysilicon and IGZO Production Forecast to Skyrocket 150% in 2012,"oxide), critical to production of the high resolution displays used by these devices. These TFT technologies employ high mobility semiconductor materials, which allow panel manufacturers to shrink TFT dimensions and increase light transmission. LCDs with greater"
2012-01-02,Dow Jones News Service,Global Chip Sales Drop Sequentially In November -Xinhua,"Sales of semiconductors fell in November from the previous month due to the impacts of flooding in Thailand and the euro-zone crisis, according to theSemiconductorIndustry Association, Chinese news agency Xinhua reported Monday."
2012-01-03,Barron's Online,Stocks in the Spotlight Tuesday,"Barclays analyst C.J. Muse upgraded Micron to Overweight from Equal weight and named the company as a top pick in small- to midcap- semiconductor stocks. Muse wrote in a research report that Micron was a favorite in 2012 because ""ultrabooks, [Microsoft (MSFT"
2012-01-03,Taipei Times,Cloud computing set to drive tech sector: Chang; PRODUCTIVITY:TSMC chairman Morris Chang said that tablets would replace PCs as the main,"Mobile devices with cloud computing capabilities will drive the technology industry in the coming years and enhance business productivity, TaiwanSemiconductorManufacturing Co (TSMC, ) chairman Morris Chang said yesterday."
2012-01-04,Dow Jones News Service,ISuppli: Chip Inventories Growth Halted In 3Q,"Semiconductorsuppliers reduced their chip inventories during the third quarter of last year, halting a steady expansion that spanned seven quarters, as the industry cut production to curb excess supplies, according to industry researcher IHS iSuppli."
2012-01-04,Dow Jones Chinese Financial Wire,*DJ Pericom Semiconductor Started At Buy By Roth Capital,"- - Copyright (c) 2012 Dow Jones & Company, Inc."
2012-01-04,Dow Jones International News,PericomSemiconductorStarted At Buy By Roth Capital,Pericom Semiconductor Started At Buy By Roth Capital
2012-01-04,Telecommunications Weekly,"ABI Research; Wireless Infrastructure Drives RF PowerSemiconductorMarkets to Well over $1 Billion, Says ABI Research",2012 JAN 4 - (VerticalNews.com) -- Spending on RF power semiconductors for the wireless infrastructure market has experienced significant growth in 2011. Other markets - notably the military - are seeing some moderation in growth as the
2012-01-06,ETMAG.com,Low Temperature Polysilicon and IGZO Production Forecast to Skyrocket 150% in 2012,"oxide), critical to production of the high resolution displays used by these devices. These TFT technologies employ high mobility semiconductor materials, which allow panel manufacturers to shrink TFT dimensions and increase light transmission. LCDs with greater"
2012-01-09,PR Newswire (U.S.),"NI Technology Updates Outlooks on Anadigics, RF Micro Devices, Acme Packet, AudioCodes and Clearwire","9, 2012 /PRNewswire/ -- Next Inning Technology Research ( http://www.nextinning.com.ezp.lib.rochester.edu), an online investment newsletter focused on semiconductor and technology stocks, has published updated outlooks for Anadigics (Nasdaq: ANAD), RF Micro Devices (Nasdaq: RFMD"
2012-01-09,Dow Jones International News,UK MARKET TALK ROUNDUP: SHARES GAINING,"overestimated. ""For now, a lack of catalysts may keep the stock performing in line with the market, although signs of overheating in the semiconductor value chain are worth monitoring carefully,"" it adds. Says the commercialization of first ARM-based solutions"
2012-01-09,Dow Jones News Service,Deutsche Bank RaisesSemiconductorStocks To Overweight From Equalweight,Deutsche Bank Raises Semiconductor Stocks To Overweight From Equalweight
2012-01-09,ETMAG.com,"Chip inventory declines as suppliers adjust to slow market conditions, says IHS","Chip inventories held by semiconductor suppliers declined in the third quarter of 2011, putting a halt to the steady expansion of the previous seven quarters, as the industry cut production in order to reduce oversupply, according to IHS iSuppli."
2012-01-09,Journal of Commerce Online,US Electronics Exporters Powering Up,"our sales outside the U.S., access to growing markets is critical for the success of our industry,"" Brian Toohey, president of theSemiconductorIndustry Association, said after Congress approved the FTAs with Colombia, Panama and South Korea in October."
2012-01-10,United States International Trade Commission Documents,"Certain Integrated Circuits, Chipsets, and Products Containing Same Including Televisions; Notice of Institution of Investigation","Commission on November 30, 2011, under section 337 of the Tariff Act of 1930, as amended, 19 U.S.C. 1337, on behalf of FreescaleSemiconductor, Inc. of Austin, Texas. The complaint alleges violations of section 337 based upon the importation into the United"
2012-01-11,IHS Global Insight Daily Analysis,"Sri Lanka Cuts Duties on Imported Buses, Trucks, and Engines","added tax (VAT) on buses and trucks starting this year. The ministry said that many other raw materials, including photo-sensitive semiconductor devices, will no longer be charged VAT."
2012-01-17,The China Post,"Stocks, New Taiwan dollar drop despite Ma victory","Financial stocks took a hit amid fears of their exposure to the debt problems in Europe, dealers said.Semiconductorstocks also suffered losses, led by heavyweight TaiwanSemiconductorManufacturing Co. (TSMC), after investors took cues from a tumble of their"
2012-01-17,Dow Jones News Service,CypressSemiconductorCorp Raised To Outperform From Underperform By CLSA,Cypress Semiconductor Corp Raised To Outperform From Underperform By CLSA
2012-01-17,Dow Jones International News,UK MARKET TALK ROUNDUP: BROKERS COMMENTS,"JPMorgan Cazenove upgrades CSR (CSR.LN) to overweight from neutral and raises its price target to 300p from 285p. It notes the semiconductor inventory correction is coming to an end and the stock is cheap on most metrics, trading at a large discount to peers"
2012-01-18,Dow Jones News Service,SemiconductorStocks Up On Encouraging Comments,"Positive commentary from analog chip maker Linear Technology Corp . (LLTC), manufacturer TaiwanSemiconductorManufacturing Co. (TSM, 2330.TW) and semiconductor -equipment maker ASML Holding NV (AMSL, ASML.AE) stood in contrast to recent guidance cuts from other"
2012-01-18,Dow Jones News Service,Exchange Traded Funds Top 10 Percentage Gainers,NET % STOCK (Symbol) LAST CHG CHG Direxion Dly SCOND 3 BL SOXL 35.00 4.49 14.72 DXN DLY RSSA BULL 3X RUSL
2012-01-19,Dow Jones News Service,ONSemiconductorInc Raised To Buy From Neutral By UBS,ON Semiconductor Inc Raised To Buy From Neutral By UBS
