,Semiconductor,isPartial
2012-01-01,21.09,False
2012-01-02,29.64,False
2012-01-03,36.48,False
2012-01-04,48.45,False
2012-01-05,41.61,False
2012-01-06,42.18,False
2012-01-07,25.08,False
2012-01-08,24.51,False
2012-01-09,44.46,False
2012-01-10,49.59,False
2012-01-11,47.88,False
2012-01-12,51.3,False
2012-01-13,48.45,False
2012-01-14,23.37,False
2012-01-15,21.66,False
2012-01-16,44.46,False
2012-01-17,43.32,False
2012-01-18,47.88,False
2012-01-19,47.88,False
2012-01-20,45.6,False
2012-01-21,25.08,False
2012-01-22,26.22,False
2012-01-23,41.04,False
2012-01-24,48.45,False
2012-01-25,46.17,False
2012-01-26,47.88,False
2012-01-27,46.17,False
2012-01-28,26.22,False
2012-01-29,27.93,False
2012-01-30,45.6,False
2012-01-31,57.0,False
2012-02-01,57.96,False
2012-02-02,58.59,False
2012-02-03,53.55,False
2012-02-04,30.87,False
2012-02-05,32.13,False
2012-02-06,56.07,False
2012-02-07,56.7,False
2012-02-08,57.96,False
2012-02-09,60.48,False
2012-02-10,52.92,False
2012-02-11,33.39,False
2012-02-12,28.98,False
2012-02-13,56.07,False
2012-02-14,54.18,False
2012-02-15,60.48,False
2012-02-16,53.55,False
2012-02-17,53.55,False
2012-02-18,26.46,False
2012-02-19,30.87,False
2012-02-20,48.51,False
2012-02-21,63.0,False
2012-02-22,57.33,False
2012-02-23,57.33,False
2012-02-24,51.03,False
2012-02-25,23.31,False
2012-02-26,30.24,False
2012-02-27,60.48,False
2012-02-28,58.59,False
2012-02-29,55.44,False
2012-03-01,56.12,False
2012-03-02,54.9,False
2012-03-03,33.55,False
2012-03-04,33.55,False
2012-03-05,61.0,False
2012-03-06,56.12,False
2012-03-07,57.34,False
2012-03-08,54.9,False
2012-03-09,51.85,False
2012-03-10,29.28,False
2012-03-11,33.55,False
2012-03-12,55.51,False
2012-03-13,51.85,False
2012-03-14,51.24,False
2012-03-15,54.29,False
2012-03-16,50.02,False
2012-03-17,31.72,False
2012-03-18,32.33,False
2012-03-19,53.68,False
2012-03-20,51.85,False
2012-03-21,51.85,False
2012-03-22,56.12,False
2012-03-23,45.75,False
2012-03-24,25.01,False
2012-03-25,26.84,False
2012-03-26,49.41,False
2012-03-27,50.63,False
2012-03-28,51.85,False
2012-03-29,55.51,False
2012-03-30,45.14,False
2012-03-31,25.62,False
2012-04-01,23.01,False
2012-04-02,43.07,False
2012-04-03,54.87,False
2012-04-04,55.46,False
2012-04-05,46.02,False
2012-04-06,40.12,False
2012-04-07,19.47,False
2012-04-08,23.01,False
2012-04-09,42.48,False
2012-04-10,51.92,False
2012-04-11,45.43,False
2012-04-12,49.56,False
2012-04-13,44.84,False
2012-04-14,23.01,False
2012-04-15,31.86,False
2012-04-16,50.74,False
2012-04-17,54.28,False
2012-04-18,52.51,False
2012-04-19,51.33,False
2012-04-20,47.79,False
2012-04-21,31.86,False
2012-04-22,35.4,False
2012-04-23,47.79,False
2012-04-24,54.87,False
2012-04-25,57.82,False
2012-04-26,59.0,False
2012-04-27,50.74,False
2012-04-28,35.99,False
2012-04-29,29.5,False
2012-04-30,50.74,False
2012-05-01,51.85,False
2012-05-02,61.0,False
2012-05-03,55.51,False
2012-05-04,48.19,False
2012-05-05,31.72,False
2012-05-06,34.77,False
2012-05-07,53.07,False
2012-05-08,56.12,False
2012-05-09,50.63,False
2012-05-10,56.73,False
2012-05-11,50.63,False
2012-05-12,29.89,False
2012-05-13,29.28,False
2012-05-14,53.68,False
2012-05-15,55.51,False
2012-05-16,55.51,False
2012-05-17,53.07,False
2012-05-18,45.75,False
2012-05-19,30.5,False
2012-05-20,30.5,False
2012-05-21,49.41,False
2012-05-22,53.68,False
2012-05-23,52.46,False
2012-05-24,51.24,False
2012-05-25,50.63,False
2012-05-26,28.67,False
2012-05-27,26.84,False
2012-05-28,39.65,False
2012-05-29,48.19,False
2012-05-30,46.36,False
2012-05-31,48.8,False
2012-06-01,45.36,False
2012-06-02,25.76,False
2012-06-03,27.44,False
2012-06-04,46.48,False
2012-06-05,56.0,False
2012-06-06,50.4,False
2012-06-07,54.32,False
2012-06-08,52.08,False
2012-06-09,25.2,False
2012-06-10,30.8,False
2012-06-11,48.16,False
2012-06-12,49.28,False
2012-06-13,50.96,False
2012-06-14,51.52,False
2012-06-15,49.84,False
2012-06-16,25.76,False
2012-06-17,29.12,False
2012-06-18,52.08,False
2012-06-19,50.4,False
2012-06-20,51.52,False
2012-06-21,46.48,False
2012-06-22,45.92,False
2012-06-23,26.32,False
2012-06-24,29.68,False
2012-06-25,49.28,False
2012-06-26,53.76,False
2012-06-27,43.12,False
2012-06-28,41.44,False
2012-06-29,42.0,False
2012-06-30,25.76,False
2012-07-01,26.1,False
2012-07-02,42.92,False
2012-07-03,52.2,False
2012-07-04,41.76,False
2012-07-05,52.78,False
2012-07-06,42.34,False
2012-07-07,23.78,False
2012-07-08,24.94,False
2012-07-09,46.98,False
2012-07-10,52.2,False
2012-07-11,49.88,False
2012-07-12,56.84,False
2012-07-13,55.68,False
2012-07-14,26.68,False
2012-07-15,34.22,False
2012-07-16,54.52,False
2012-07-17,58.0,False
2012-07-18,53.94,False
2012-07-19,52.78,False
2012-07-20,45.82,False
2012-07-21,26.1,False
2012-07-22,32.48,False
2012-07-23,50.46,False
2012-07-24,54.52,False
2012-07-25,50.46,False
2012-07-26,46.98,False
2012-07-27,46.4,False
2012-07-28,26.1,False
2012-07-29,31.9,False
2012-07-30,47.56,False
2012-07-31,52.78,False
2012-08-01,42.34,False
2012-08-02,48.72,False
2012-08-03,42.34,False
2012-08-04,29.58,False
2012-08-05,27.26,False
2012-08-06,46.98,False
2012-08-07,55.1,False
2012-08-08,54.52,False
2012-08-09,53.94,False
2012-08-10,43.5,False
2012-08-11,30.16,False
2012-08-12,34.22,False
2012-08-13,52.2,False
2012-08-14,55.1,False
2012-08-15,49.3,False
2012-08-16,47.56,False
2012-08-17,47.56,False
2012-08-18,28.42,False
2012-08-19,23.78,False
2012-08-20,52.2,False
2012-08-21,51.62,False
2012-08-22,58.0,False
2012-08-23,55.68,False
2012-08-24,50.46,False
2012-08-25,31.9,False
2012-08-26,31.32,False
2012-08-27,53.36,False
2012-08-28,51.62,False
2012-08-29,55.1,False
2012-08-30,49.3,False
2012-08-31,46.4,False
2012-09-01,33.63,False
2012-09-02,27.14,False
2012-09-03,44.25,False
2012-09-04,47.79,False
